tempo_dt,posicao_y,xi,velocidade_v,aceleracao
0.0, 10.0, 0, 0.0, -10.0
0.0, 9.9985, 9.9975, -0.1, -10.0
0.0, 9.995999999999999, 9.993999999999998, -0.2, -10.0
0.0, 9.992499999999998, 9.989499999999998, -0.30000000000000004, -10.0
0.0, 9.987999999999998, 9.983999999999998, -0.4, -10.0
0.0, 9.982499999999996, 9.977499999999996, -0.5, -10.0
0.0, 9.975999999999996, 9.969999999999995, -0.6, -10.0
0.0, 9.968499999999995, 9.961499999999996, -0.7, -10.0
0.0, 9.959999999999996, 9.951999999999996, -0.7999999999999999, -10.0
0.0, 9.950499999999995, 9.941499999999994, -0.8999999999999999, -10.0
0.0, 9.939999999999994, 9.929999999999994, -0.9999999999999999, -10.0
0.0, 9.928499999999994, 9.917499999999995, -1.0999999999999999, -10.0
0.0, 9.915999999999993, 9.903999999999993, -1.2, -10.0
0.0, 9.902499999999993, 9.889499999999993, -1.3, -10.0
0.0, 9.887999999999993, 9.873999999999993, -1.4000000000000001, -10.0
0.0, 9.872499999999992, 9.857499999999991, -1.5000000000000002, -10.0
0.0, 9.855999999999991, 9.839999999999991, -1.6000000000000003, -10.0
0.0, 9.838499999999991, 9.821499999999991, -1.7000000000000004, -10.0
0.0, 9.81999999999999, 9.801999999999989, -1.8000000000000005, -10.0
0.0, 9.800499999999989, 9.781499999999989, -1.9000000000000006, -10.0
0.0, 9.779999999999989, 9.75999999999999, -2.0000000000000004, -10.0
0.0, 9.758499999999987, 9.737499999999986, -2.1000000000000005, -10.0
0.0, 9.735999999999986, 9.713999999999986, -2.2000000000000006, -10.0
0.0, 9.712499999999986, 9.689499999999986, -2.3000000000000007, -10.0
0.0, 9.687999999999986, 9.663999999999987, -2.400000000000001, -10.0
0.0, 9.662499999999985, 9.637499999999985, -2.500000000000001, -10.0
0.0, 9.635999999999985, 9.609999999999985, -2.600000000000001, -10.0
0.0, 9.608499999999985, 9.581499999999986, -2.700000000000001, -10.0
0.0, 9.579999999999984, 9.551999999999984, -2.800000000000001, -10.0
0.0, 9.550499999999984, 9.521499999999984, -2.9000000000000012, -10.0
0.0, 9.519999999999984, 9.489999999999984, -3.0000000000000013, -10.0
0.0, 9.488499999999982, 9.457499999999982, -3.1000000000000014, -10.0
0.0, 9.455999999999982, 9.423999999999982, -3.2000000000000015, -10.0
0.0, 9.422499999999982, 9.389499999999982, -3.3000000000000016, -10.0
0.0, 9.38799999999998, 9.35399999999998, -3.4000000000000017, -10.0
0.0, 9.35249999999998, 9.31749999999998, -3.5000000000000018, -10.0
0.0, 9.31599999999998, 9.27999999999998, -3.600000000000002, -10.0
0.0, 9.278499999999978, 9.241499999999977, -3.700000000000002, -10.0
0.0, 9.239999999999977, 9.201999999999977, -3.800000000000002, -10.0
0.0, 9.200499999999977, 9.161499999999977, -3.900000000000002, -10.0
0.0, 9.159999999999977, 9.119999999999978, -4.000000000000002, -10.0
0.0, 9.118499999999976, 9.077499999999976, -4.100000000000001, -10.0
0.0, 9.075999999999976, 9.033999999999976, -4.200000000000001, -10.0
0.0, 9.032499999999976, 8.989499999999977, -4.300000000000001, -10.0
0.0, 8.987999999999975, 8.943999999999974, -4.4, -10.0
0.0, 8.942499999999974, 8.897499999999974, -4.5, -10.0
0.0, 8.895999999999974, 8.849999999999975, -4.6, -10.0
0.0, 8.848499999999973, 8.801499999999972, -4.699999999999999, -10.0
0.0, 8.799999999999972, 8.751999999999972, -4.799999999999999, -10.0
0.0, 8.750499999999972, 8.701499999999973, -4.899999999999999, -10.0
0.0, 8.69999999999997, 8.64999999999997, -4.999999999999998, -10.0
0.0, 8.64849999999997, 8.59749999999997, -5.099999999999998, -10.0
0.0, 8.59599999999997, 8.54399999999997, -5.1999999999999975, -10.0
0.0, 8.542499999999968, 8.489499999999968, -5.299999999999997, -10.0
0.0, 8.487999999999968, 8.433999999999967, -5.399999999999997, -10.0
0.0, 8.432499999999967, 8.377499999999968, -5.4999999999999964, -10.0
0.0, 8.375999999999967, 8.319999999999968, -5.599999999999996, -10.0
0.0, 8.318499999999966, 8.261499999999966, -5.699999999999996, -10.0
0.0, 8.259999999999966, 8.201999999999966, -5.799999999999995, -10.0
0.0, 8.200499999999966, 8.141499999999967, -5.899999999999995, -10.0
0.0, 8.139999999999965, 8.079999999999965, -5.999999999999995, -10.0
0.0, 8.078499999999964, 8.017499999999965, -6.099999999999994, -10.0
0.0, 8.015999999999964, 7.953999999999964, -6.199999999999994, -10.0
0.0, 7.952499999999965, 7.889499999999965, -6.299999999999994, -10.0
0.0, 7.887999999999965, 7.823999999999965, -6.399999999999993, -10.0
0.0, 7.822499999999966, 7.7574999999999665, -6.499999999999993, -10.0
0.0, 7.7559999999999665, 7.689999999999967, -6.5999999999999925, -10.0
0.0, 7.688499999999967, 7.621499999999966, -6.699999999999992, -10.0
0.0, 7.619999999999967, 7.551999999999968, -6.799999999999992, -10.0
0.0, 7.550499999999968, 7.481499999999968, -6.8999999999999915, -10.0
0.0, 7.479999999999968, 7.409999999999967, -6.999999999999991, -10.0
0.0, 7.408499999999968, 7.337499999999968, -7.099999999999991, -10.0
0.0, 7.335999999999968, 7.263999999999968, -7.19999999999999, -10.0
0.0, 7.262499999999969, 7.18949999999997, -7.29999999999999, -10.0
0.0, 7.1879999999999695, 7.11399999999997, -7.39999999999999, -10.0
0.0, 7.11249999999997, 7.0374999999999694, -7.499999999999989, -10.0
0.0, 7.03599999999997, 6.959999999999971, -7.599999999999989, -10.0
0.0, 6.958499999999971, 6.881499999999971, -7.699999999999989, -10.0
0.0, 6.879999999999971, 6.80199999999997, -7.799999999999988, -10.0
0.0, 6.800499999999971, 6.721499999999971, -7.899999999999988, -10.0
0.0, 6.719999999999971, 6.639999999999971, -7.999999999999988, -10.0
0.0, 6.638499999999972, 6.557499999999973, -8.099999999999987, -10.0
0.0, 6.5559999999999725, 6.473999999999973, -8.199999999999987, -10.0
0.0, 6.472499999999973, 6.389499999999972, -8.299999999999986, -10.0
0.0, 6.387999999999973, 6.303999999999974, -8.399999999999986, -10.0
0.0, 6.302499999999974, 6.217499999999974, -8.499999999999986, -10.0
0.0, 6.2159999999999735, 6.129999999999974, -8.599999999999985, -10.0
0.0, 6.128499999999974, 6.041499999999974, -8.699999999999985, -10.0
0.0, 6.039999999999974, 5.951999999999974, -8.799999999999985, -10.0
0.0, 5.950499999999975, 5.8614999999999755, -8.899999999999984, -10.0
0.0, 5.8599999999999755, 5.769999999999976, -8.999999999999984, -10.0
0.0, 5.7684999999999755, 5.677499999999975, -9.099999999999984, -10.0
